caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
114,,,6 MONTHS AGO,,THE HEAD OF THE REPUBLICAN HOUSE,VICE PRESIDENT,DK,DK,"THE ECONOMY, OVERALL FEDERAL SPENDING OR GOVERNMENT.",FOREIGN OIL DEPENDENCY.,"IMMIGRATION, INSUFFICIENT BORDER CONTROL.",ECONOMY,,,,,,,,,,,"fruit,bagels,cofee."
115,,,WHEN THE RACE BEGAN,,HE IS THE REPUBLICAN SPEAKER OF THE HOUSE.,VICE PRESIDENT,DK,HE IS ON THE SUPREME COURT. I BELIEVE HE IS IN CHARGE.,ECONOMIC STATUS AND LACK OF JOBS,OVERSEAS CONFLICT AND I THINK ITS A PROBLEM THAT WE HAVE BEEN AT WAR FOR OVER 10YRS.,"PUBLIC ASSISTANCE PROGRAM, I THINK THAT WE NEED TO HAVE STRICKER PROGRAM SO THAT GUIDELINES ARE NOT ABUSED.","JOBSLESSNESS, LACK OF JOBS.",,,,,,,,,,,BANANA
116,,,,,,,,,,,,,,,,,,,,,,,
117,,,I knew from the beginning,,Speakerof the house,Vice president,DK,DK,Debt problem,Health Care,I don't have any more//,Health care.,,,,,,,,,,,cofee
118,,,,,speaker of the house,vice president,dk,dk,spending,too many companies outsourcing,roads infastructure,deficit,,,,,,right person for the right job,,,,,coffee
119,,,,,dk,vice president,dk,dk,dk,dk,be more friendly wirh other countries,relations with other countries,,,,,,,,,,,eggs
120,,,about a week,,major leader in congress,vice president,dk obama's staff,dk,debt,number of people dependent on the government for their livelyhood,"energy,oil, inflation, education, pollution",debt,,,,,,,,,,,cereal
121,,,day 1,,speaker of the house,vice president,dk/,dk/,economics,social security,"military, wars loosing too many people",economics,,,,,,,,,,,"orange,coffee &toast"
122,,,,,dk/,dk/,dk/,dk/,welfare and unemployment,over paid politicans,"not cut back on education, or medicare and social security",unemployment,,,,,,,,,,,nothing
123,,,,,,,,,,,,,,,,,,,,,,,
124,,,24 hours,,dk,vice president,dk,dk,morals not into gay rights,military- policing other countries,na,military,,,,,,,,,,,nothing
125,,,,,speaker of the house,vp,dk,dk,debt,jobs,too many people on food stamps,jobs,,,,,,,,,,,eggs
126,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,dont know//,dont know//,dont know//,dont know//,education,"employm,ent",national debt,national debt,,,,,,,,,,,oatmeal
128,,,long time,,republician speaker,vice president,dk/financial guy democratic,dk,housing market,n,NA,HOUSING MARKET,,,,,,,,,,,EGGS
129,,,,,senate//,dk//,"sounds familiar, dont know//",dk//,"jobs, there is not many out there not amny poeple aare hiring//","gas prices, they are going up!!",no idea......I am thinking.//,jobs!,,,,,,,,,,,none
130,,,2 weeks,,dk//,vp//,dkk//,dk//,"welfare, that they do not put a limit on it, you can be on welfare//","our schools, they do all the budget cuts on the scheools, and I dont thnk that is good","our taxes, just that they need to use our taxes more wisely.","taxes, we need to do something with that",,,,,,,,,,,eggs
131,,,,,house leader for the rep party,VP//,"PM of canada, foreign country//yes",supreme court head//,"Health//lack of people that cant afford to receive medical attention, young insured//y",income disparity//welll the poor are over taxed the wealthy are under taxed//,"the lack of infrasstructure//lack of repairs,aged systems liek seweres and water treatments//",the lack of HC//,,,,,,,,,,,fruit and tooast
132,,,12 mo,,he is the house leader//,vp//,dk//I have no idea,dk//,financial cliff//well we have to revolve teh dfeicit and in order to do that we have to make some decisions about the taxes and that will involve all of us//,unemplyment//too many people unemployed!1,partisianship//both parties need to work together as a team and do what is best for the country instead of what is in the interest of their parties//,probably unemployment will affect us personally the most,,,,,,,,,,,egs
133,,,6 months,,DK//no guess,iknow the name//vp,dk//no,dk//dk,"our economy//the debt, too large!","the immigration//our jobs are being givent ot toeh immigrants, west ern are want more $ to work less hours, benefits and immi. come in and work more hours for less R$","our fuel, goodness, we are paynig high prcies to have it imported when we coudl drill ourselves here and bring costs down and open up jobs for people that are here","the economy//because it is effecting our unemply. our housing, so many on foreclosure,",,,,,,,,,,,cereal and coffee
134,,,,,"house of rep// not sure, he is really up on top//",he is the vp,us sentate//,dk//,"racism//I gues how we are treated, growing up I was beleived for being ascian, therea re many people that are racist against ascians, mostly the minorities.","poverty// many people are losing their job, liek my dad, more people on the streets.","I woudl say the emvironmental issues//I guess how the weather is changing, cutting more trees down really discouraged me.",racisim,,,,,,,,,,,ceral and orange juice
135,,,3 months,,dk// i dont remember,vp//,dk//I dont remember//,dk//,"the economy//we are in debt,I believe alot is brought on by the war//",gap between rich adn poor//the richa re getting richer and the poor are getting poorer,dk//,economy,,,,,,,,,,,bagel
136,,,3 days,,dk//,vp//,dk//,dk///,"hc//costs nto being able to afford it, deductible","factories shutting down, small businesses//",dk//,hc///,,,,,,,,,,,n/a
137,,,3 months,,he is the speaker fof the house//,he is the vp//,"I have no idea, no i do not want to make a guess// a name that has not been in my world//","he is the supreme court justice, he is the chief justice//",the biggest problem facing this country is islam because the people dont realize what they are doing//,"immigration, thy have no set rules that they abide by, its a wishy washy deal and so reaelly youd ont kow waht tehya re going to do , I dont know what they should do, not a cluea s to how to solbe the problem//","our dependence on foreign oil, open up the fed land for drilling so we can be self sufficient.","I still think Islam, with the shriah law.",,,,,,,,,,,milk juice
138,,,4 months,,dk,vice pres,dk,dk,"jobs//lack of jobs lay offs moving into different countries// not enough hours, not enough days of the work week//yes",poeple losing their houses//because of the jobs//,"cost fo hc//too high and you dont have any job, etc.",losing their jobs//,,,,,,,,,,,pizza
139,,,1 mo,,is it a some kind of congressman?//yes,vp,senate//yes,"roberts, etc.   he is the house of rep//yes","um what is that, home foreclsures//the banks when you fall in a short coming the banks are not trying to help//","loss fo income , jobs, not being available//",the debt that the country owes so much// the country is in debt wea re dependighn on other countrys to pull us out//,the debt//,,,,,,,,,,,bacon and eggs
140,,,"I knew from the get go, voting for the alternative.",,Speaker of the House,Vice President,British Prime Minister,Don't know,Federal Deficit is really the number one in my mind. Fiscal Cliff,"Entitlements, tax reform",Not at the moment,Deficit,,,,,,,Political Action,,,,coffee
141,,,months,,No idea.  Not the house.  Senator,Vice President,"Name does not ring a bell, no guess.",No idea. Noo.,Unemployment,National Debt.,Crime Rates,Deficit,,,,,,,,,,,left over seafood
142,,,"2 weeks after the last debate, a month before the election",,speaker of the house,Vice president,minority leader,Someone on Obama's cabinet,"Economy, because the economy drives everything else","Federal budget, best way to sum it up.","The Health care system, it is a disaster.",Economics,,,,,,,,,,,Coffee
143,,,,,He has to do with the budget. He is in all the news.,Vice President,I don't know who that is.,I don't know what he dones,Debt,foreign policy/security,economy work leaving the country,Debt,,,,,,,,,,,cereal
144,,,Seconds before I voted.,,"I don't know. I've heard his name before, Speaker of the House",Vice President,"I have not heard of him. Not Secretary of State is he, i don't know who he is.",I don't know. Secretary of Defense,"They argue so much they get nothing done, wasting money and no compromise",Wasting money,"Resources, gas, oil , commerce we're outsourcing everythings.",Arguing,,,,,,,,,,,coffee
145,,,4 years ago,,I don't remember,Vice President,Conservative Party,Chief Justice,The economy,The strength of the military,Our moral compass is way off,The economy,,,,,,,,,,,coffee
146,,,4 years ago,,"Negotiating every day with president on this cliff, can't remember the title.",Vice President,I don't know.,Supreme Court Justice,Racisim,Sending jobs overseas,Education,jobs overseas,,,,,,,,,,,coffee
147,,,4 years ago,,I am not sure,Vice President,I am not sure. One of the houses.,I don't know.,Unemployment,Healthcare,Economy,Economy,,,,,,,,,,,Coffee
148,,,1 year,,DK,Vice president,DK,DK,"Not enough jobs//there's not enough people hiring for jobs, it's not to say they haven't made progress on jobs, because they have, it's the type of hiring they're doing.  The hiring process is ridiculous, it's biased, in alot of ways, I think//no","Gun control//too many idiots are allowed to carry guns, I feel like the only people who should carry guns are policemen and I'm not sure they should because they're trigger happy//no",Health care//it's not as good as other countries//no,Guns,,,,,,,,,,,eggs and saugage
149,,,WHEN HE DECIDED,,DK,VICE PRESIDENT,DK,DK,ECONOMY,,,,,,,,,,,,,,DIDN'T HAVE BREAKFAST
150,,,INSTANTLY,,HOUSE SPEAKER,VICE PRESIDENT,DK,DK,ECONOMY,TAXES ON THE RICH THAT THEY ARE NOT PAYING,INVOLMENT IN OTHER COUNTRIES PROBLEMS,ECONOMY,,,,,,,,,,,"TURKEY BACON AND RICE,COFFEE"
151,,,,,House of Representatives,Vice president,DK,DK,"Jobs//taxes too high, a lot of businesses closed because the government put the taxes too high//when the government put the taxes too high a lot of companies closed and went to Mexico and other countries//no","Immigration//it's supposed to be a free country, and like George Washington wasn't born in the United States, and they make the laws like everybody is supposed to be welcome in this country and it's not truee//right now the way I see it the united Statesis not letting Mexican people, sending a lot of people back to Mexico, when you go to factories or restaurants tehy take only the Mexicans and nobody else, the government knows that everybody pays taxes, what happened to these taxes//a lot of people needdriver's license//these people don't have a resident card, they can not do the taxes because they don't have papers, and this money, the government keeps it//no","Insurance, obama's idea  right now is that poor people can't handle it//no",Jobs,,,,,,,,,,,tacos
152,,,four months before the election,,DK,Vice President,DK,DK,The state of the economy -,Utilizing our own natural resouces -like drilling for our wn oil,no,economy,,,,,,,,,,,"Banana nut muffin, Oatmeal muffin, bacon"
153,,,2 months,,DK,Vice President,DK,DK,economics,issues in the Middle East,jobs,issues in the Middle East,,,,,,,,,,,toast
154,,,,,Senator,Governor,Governor,DK,Jobs - There are not enough jobs for everyone. AE? No,Housing - That the prices of rental property and real estate is too high.  It costs too much to buy a house or rent.AE? No,No,Jobs,,,,,,,,,,,pancakes
155,,,the day of the election,,Speaker of the House,Vice President,DK,DK,Unemployment,No,No,Unemployment,don't they already get fair treatment,,,,,,,,,,toast
156,,,,,DK,Vice President,DK,DK,Economy,No,No,Economy,,,,,,Blacks shoud be hired merit.,,,,,oats
157,,,one year,,Senator,Vice President,Congress,senator,Economy,Global Warming,"the acceptance of minorities, such as blacks, homosexuals, different religious beliefs.",Economy,,,,,,,,,,,pop tart
158,,,,,,,,,,,,,,,,,,,,,,,
159,,,3 or 4 mos.,,Majority leader,Vice President,DK,DK,the economy they got to get control on spending,jobs but the economy is going to control that,,the economy,,,,,,,,,,,bacon and eggs
160,,,,,DK,Vice President,DK,Think I heard of him but dk who he is,gas prices,the national debt,,the debt,,,,,,,,,,,eggs
161,,,,,DK-senate,vice president,DK i dk,DK-governor,unemployment,,,,,,,,,,,,,,breakfast pizza
162,,,4 years,,he is the speaker of the house for the republicans,vice president,it sounds like a news castor but I dont think that is right,maybe he is a representative,The Economy-people are out of work the president he doesn't know what he is doing,people don't believe in God as much our country is becoming a bunch of heatherns they don't have anything to believe in,War-I think well war is bad and I think we need a stronger military and I think with president Obama he doesn't think we need them and our defenses our going down all over the world,our beleif in God,,,,,,,,,,,eggs and ham
